o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|Unnamed: 9
1028|70|F|153864.67|19940101|2-HIGH|Clerk#000000131|0|ts are. final, silent deposits are among the fl|
1029|130|F|47440.91|19940621|2-HIGH|Clerk#000000700|0|quests sleep. slyly even foxes wake quickly final theodolites. clo|
1030|134|F|16346.94|19940615|5-LOW|Clerk#000000422|0|ully ironic accounts sleep carefully. requests are carefully alongside of the |
1031|4|F|128024.71|19940901|3-MEDIUM|Clerk#000000448|0|s; ironic theodolites along the carefully ex|
1056|28|F|38446.39|19950211|1-URGENT|Clerk#000000125|0|t, even deposits hang about the slyly special i|
1057|76|F|108107.42|19920220|1-URGENT|Clerk#000000124|0|cuses dazzle carefully careful, ironic pinto beans. carefully even theod|
1058|53|F|89359.11|19930426|3-MEDIUM|Clerk#000000373|0|kly pending courts haggle. blithely regular sheaves integrate carefully fi|
1059|127|F|198360.22|19940227|1-URGENT|Clerk#000000104|0|en accounts. carefully bold packages cajole daringly special depende|
1060|140|F|121994.04|19930221|3-MEDIUM|Clerk#000000989|0|l platelets sleep quickly slyly special requests. furiously |
1061|103|O|166947.75|19980515|5-LOW|Clerk#000000576|0|uests sleep at the packages. fur|
1062|106|O|39805.04|19970115|1-URGENT|Clerk#000000152|0|eposits use blithely |
1063|37|F|41392.31|19940402|2-HIGH|Clerk#000000024|0|deposits nag quickly regular deposits. quickl|
1088|148|F|47120.41|19920521|5-LOW|Clerk#000000347|0|counts are blithely. platelets print. carefully |
1089|49|O|103192.74|19960504|4-NOT SPECIFIED|Clerk#000000226|0|ns haggle ruthlessly. even requests are quickly abov|
1090|19|O|32929.3|19971115|2-HIGH|Clerk#000000300|0| furiously regular platelets haggle along the slyly unusual foxes! |
1091|83|O|35795.22|19960827|1-URGENT|Clerk#000000549|0| even pinto beans haggle quickly alongside of the eve|
1092|124|P|85552.21|19950304|3-MEDIUM|Clerk#000000006|0|re quickly along the blithe|
1093|101|O|79189.58|19970731|4-NOT SPECIFIED|Clerk#000000159|0| after the carefully ironic requests. carefully ironic packages wake fluffil|
1094|145|O|9006.25|19971224|3-MEDIUM|Clerk#000000570|0|beans affix furiously about the pending, even deposits. finally pendi|
1095|145|O|178491.24|19950822|3-MEDIUM|Clerk#000000709|0|sly bold requests cajole carefully according to|
1120|140|O|107958.62|19971107|3-MEDIUM|Clerk#000000319|0|lly special requests. slyly pending platelets are quickly pending requ|
1121|29|O|241837.88|19970113|3-MEDIUM|Clerk#000000541|0|r escapades. deposits above the fluffily bold requests hag|
1122|121|O|179747.47|19970110|1-URGENT|Clerk#000000083|0|uffily carefully final theodolites. furiously express packages affix|
1123|73|O|93259.93|19960803|3-MEDIUM|Clerk#000000929|0|uriously pending requests. slyly regular instruction|
1124|80|O|141858.97|19980730|5-LOW|Clerk#000000326|0|regular pinto beans along the fluffily silent packages|
1125|25|F|80438.38|19941027|2-HIGH|Clerk#000000510|0|ithely final requests. i|
1126|145|O|59982.31|19980128|4-NOT SPECIFIED|Clerk#000000928|0|d slyly regular ideas: special ideas believe slyly. slyly ironic sheaves w|
1127|58|O|103320.91|19950919|4-NOT SPECIFIED|Clerk#000000397|0|usly silent, regular pinto beans. blithely express requests boos|
1152|49|F|51775.54|19940814|4-NOT SPECIFIED|Clerk#000000496|0|equests. deposits ab|
1153|121|O|220727.97|19960418|5-LOW|Clerk#000000059|0| across the pending deposi|
1154|37|F|192417.85|19920215|1-URGENT|Clerk#000000268|0|old asymptotes are special requests. blithely even deposits sleep furiously|
1155|149|O|126902.81|19971006|2-HIGH|Clerk#000000164|0|c deposits haggle among the ironic, even requests. carefully ironic sheaves n|
1156|133|O|217682.81|19961019|1-URGENT|Clerk#000000200|0| blithely ironic dolphins. furiously pendi|
1157|97|O|85394.06|19980114|4-NOT SPECIFIED|Clerk#000000207|0|out the regular excuses boost carefully against the furio|
1158|142|O|31075.51|19960630|2-HIGH|Clerk#000000549|0|integrate slyly furiously ironic deposit|
1159|70|F|55553.68|19920918|3-MEDIUM|Clerk#000000992|0|ts may sleep. requests according to the|
1184|89|O|39700.29|19971026|5-LOW|Clerk#000000777|0|iously even packages haggle fluffily care|
1185|74|F|47033.21|19920824|5-LOW|Clerk#000000344|0| even escapades are. package|
1186|59|O|82026.18|19960815|4-NOT SPECIFIED|Clerk#000000798|0|ingly regular pinto beans: instructi|
1187|134|F|85948.02|19921120|3-MEDIUM|Clerk#000000047|0|s after the furiously final deposits boost slyly under the|
1188|20|O|54655.07|19960411|2-HIGH|Clerk#000000256|0|ully ironic deposits. slyl|
1189|46|F|71017.99|19940409|1-URGENT|Clerk#000000243|0|f the even accounts. courts print blithely ironic accounts. sile|
1190|13|O|31043.39|19970316|5-LOW|Clerk#000000575|0|ccounts above the foxes integrate carefully after the |
1191|112|O|28623.04|19951107|3-MEDIUM|Clerk#000000011|0|uests nag furiously. carefully even requests|
1216|122|F|68056.57|19921207|5-LOW|Clerk#000000918|0|nal foxes around the e|
1217|7|F|40982.08|19920426|4-NOT SPECIFIED|Clerk#000000538|0| foxes nag quickly. ironic excuses nod. blithely pending|
1218|10|F|99834.47|19940620|4-NOT SPECIFIED|Clerk#000000994|0|s cajole. special, silent deposits about the theo|
1219|28|O|10163.56|19951005|3-MEDIUM|Clerk#000000800|0|od carefully. slyly final dependencies across the even fray|
1220|49|O|122157.14|19960829|1-URGENT|Clerk#000000712|0|inal theodolites wake. fluffily ironic asymptotes cajol|
1221|14|F|117397.16|19920419|4-NOT SPECIFIED|Clerk#000000852|0| detect against the silent, even deposits. carefully ironic|
1222|10|F|47623.94|19930205|3-MEDIUM|Clerk#000000811|0|theodolites use quickly even accounts. carefully final asympto|
1223|10|O|26714.67|19960525|4-NOT SPECIFIED|Clerk#000000238|0|posits was blithely fr|
1248|49|F|210713.88|19920102|1-URGENT|Clerk#000000890|0|t the carefully regular dugouts. s|
1249|149|F|45889.09|19940105|1-URGENT|Clerk#000000095|0|al ideas sleep above the pending pin|
1250|37|F|12907.62|19920929|4-NOT SPECIFIED|Clerk#000000652|0|ts after the fluffily pending instructions use slyly about the s|
1251|38|O|109536.55|19971030|1-URGENT|Clerk#000000276|0|, brave sauternes. deposits boost fluffily.|
1252|149|O|93403.05|19970804|5-LOW|Clerk#000000348|0|ng the slyly regular excuses. special courts nag furiously blithely e|
1253|115|F|92730.74|19930126|1-URGENT|Clerk#000000775|0| requests sleep furiously even foxes. ruthless packag|
1254|70|O|94649.25|19951222|1-URGENT|Clerk#000000607|0| pinto beans. carefully regular request|
1255|122|F|62518.31|19940530|4-NOT SPECIFIED|Clerk#000000798|0|ct slyly regular accounts. quick|
1280|97|F|91664.85|19930111|5-LOW|Clerk#000000160|0|posits thrash quickly after the theodolites. furiously iro|
1281|62|F|165454.51|19941211|1-URGENT|Clerk#000000430|0|counts. carefully pending accounts eat |
1282|116|F|61297.42|19920229|4-NOT SPECIFIED|Clerk#000000168|0|he quickly special packages. furiously final re|
1283|118|O|202623.92|19960830|4-NOT SPECIFIED|Clerk#000000260|0| pinto beans boost slyly ac|
1284|134|O|106122.38|19960107|2-HIGH|Clerk#000000492|0|s. blithely silent deposits s|
1285|11|F|139124.72|19920601|1-URGENT|Clerk#000000423|0|cial deposits cajole after the ironic requests. p|
1286|109|F|207291.83|19930514|4-NOT SPECIFIED|Clerk#000000939|0| deposits use carefully from the excuses. slyly bold p|
1287|19|F|131432.42|19940705|2-HIGH|Clerk#000000288|0|ly ironic dolphins integrate furiously among the final packages. st|
1312|112|F|58111.0|19940519|3-MEDIUM|Clerk#000000538|0|n, express accounts across the ironic|
1313|148|F|46598.65|19940913|1-URGENT|Clerk#000000774|0|ld accounts. regular deposits cajole. ironically pending theodolites use car|
1314|143|F|56207.66|19940513|3-MEDIUM|Clerk#000000485|0|ickly blithe packages nod ideas. furiously bold braids boost around the car|
1315|22|O|121935.23|19980322|5-LOW|Clerk#000000840|0|final theodolites alongside of the carefu|
1316|16|F|163746.47|19931203|1-URGENT|Clerk#000000857|0|ully bold theodolites? pending, bold pin|
1317|100|P|139714.71|19950519|2-HIGH|Clerk#000000373|0|sts. furiously special deposits lose fur|
1318|128|O|81663.65|19980627|3-MEDIUM|Clerk#000000581|0|s hang bold requests. pending, re|
1319|32|O|31103.83|19960927|2-HIGH|Clerk#000000257|0|y across the ruthlessly ironic accounts. unusu|
1344|17|F|43809.37|19920416|5-LOW|Clerk#000000178|0|omise close, silent requests. pending theodolites boost pending |
1345|95|F|111207.93|19921028|5-LOW|Clerk#000000447|0| regular tithes. quickly fluffy de|
1346|76|F|171975.62|19920618|2-HIGH|Clerk#000000374|0|ges sleep quickly-- even pint|
1347|41|O|173444.6|19970620|5-LOW|Clerk#000000977|0|he furiously even foxes use carefully express req|
1348|19|O|94135.77|19980418|5-LOW|Clerk#000000206|0|tly. quickly even deposi|
1349|64|O|46376.09|19971026|1-URGENT|Clerk#000000543|0|yly! blithely special theodolites cajole. unusual, reg|
1350|52|F|49305.98|19930824|1-URGENT|Clerk#000000635|0|iously about the blithely special a|
1351|106|O|24637.96|19980420|1-URGENT|Clerk#000000012|0| cajole. regular, special re|
1376|47|O|23984.88|19970504|4-NOT SPECIFIED|Clerk#000000730|0|der furiously final, final frets. carefull|
1377|20|O|108334.3|19980424|4-NOT SPECIFIED|Clerk#000000625|0|lly across the blithely express accounts. ironic excuses promise carefully de|
1378|20|O|118495.12|19960309|4-NOT SPECIFIED|Clerk#000000705|0| furiously even tithes cajole slyly among the quick|
1379|65|O|84627.76|19980525|5-LOW|Clerk#000000861|0|y deposits are caref|
1380|137|O|94969.41|19960707|3-MEDIUM|Clerk#000000969|0|inal deposits wake slyly daringly even requests. bold, even foxe|
1381|127|O|58212.22|19980525|3-MEDIUM|Clerk#000000107|0|even requests breach after the bold, ironic instructions. slyly even|
1382|133|F|173522.71|19930817|5-LOW|Clerk#000000241|0|fully final packages sl|
1383|121|F|34797.72|19930427|2-HIGH|Clerk#000000785|0|ts. express requests sleep blithel|
1408|55|O|183965.61|19971226|4-NOT SPECIFIED|Clerk#000000942|0|t the quickly final asymptotes. unusual|
1409|143|F|72440.52|19921231|4-NOT SPECIFIED|Clerk#000000065|0|ructions. furiously unusual excuses are regular, unusual theodolites. fin|
1410|113|O|114879.19|19970412|5-LOW|Clerk#000000123|0|iously along the bravely regular dolphins. pinto beans cajole furiously sp|
1411|95|F|164462.61|19941221|2-HIGH|Clerk#000000566|0|s. furiously special excuses across the pending pinto beans haggle sp|
1412|53|F|78676.54|19930313|4-NOT SPECIFIED|Clerk#000000083|0|uffily daring theodolit|
1413|91|O|75733.58|19970614|3-MEDIUM|Clerk#000000342|0|, ironic instructions. carefully even packages dazzle|
1414|77|O|38057.81|19950816|1-URGENT|Clerk#000000883|0|ccounts. ironic foxes haggle car|
1415|79|F|24654.79|19940529|4-NOT SPECIFIED|Clerk#000000601|0|rays. blithely final ideas affix quickl|
1440|98|O|50201.16|19950810|5-LOW|Clerk#000000956|0| pending requests. closely s|
1441|122|O|156477.94|19970306|4-NOT SPECIFIED|Clerk#000000156|0|ter the excuses. ironic dependencies m|
1442|112|F|7108.12|19940705|4-NOT SPECIFIED|Clerk#000000935|0|nal pinto beans. slyly ironic ideas cajol|
1443|44|O|44672.03|19961216|5-LOW|Clerk#000000185|0|x blithely against the carefully final somas. even asymptotes are. quickly spe|
1444|134|F|207907.6|19941206|3-MEDIUM|Clerk#000000783|0|ove the bold accounts cajole fluffily about|
1445|115|F|154653.32|19950110|3-MEDIUM|Clerk#000000211|0|even packages wake fluffily |
1446|41|O|27663.16|19980216|5-LOW|Clerk#000000274|0|lly regular notornis above the requests sleep final accounts! |
1447|91|F|108171.38|19921015|2-HIGH|Clerk#000000880|0|inly against the blithely pending excuses. regular, pe|
1472|149|O|65331.05|19961006|5-LOW|Clerk#000000303|0|y special dolphins around the final dependencies wake quick|
1473|94|O|80624.38|19970317|3-MEDIUM|Clerk#000000960|0|furiously close accoun|
1474|70|F|51697.18|19950109|1-URGENT|Clerk#000000438|0|detect quickly above the carefully even |
1475|5|O|185496.66|19971112|2-HIGH|Clerk#000000972|0|cally final packages boost. blithely ironic packa|
1476|145|O|18795.62|19960627|2-HIGH|Clerk#000000673|0|ding accounts hinder alongside of the quickly pending requests. fluf|
1477|76|O|231831.35|19970824|5-LOW|Clerk#000000612|0|ly bold foxes. final ideas would cajo|
1478|50|O|20791.5|19970803|2-HIGH|Clerk#000000827|0|lessly. carefully express|
1479|16|O|31471.04|19951216|4-NOT SPECIFIED|Clerk#000000697|0|he furiously even foxes. thinly bold deposits|
1504|2|F|89399.4|19920828|3-MEDIUM|Clerk#000000381|0|, brave deposits. bold de|
1505|37|F|55892.35|19920821|2-HIGH|Clerk#000000544|0|s. slyly ironic packages cajole. carefully regular packages haggle |
1506|148|F|195844.84|19920921|3-MEDIUM|Clerk#000000620|0| dependencies. accounts affix blithely slowly unusual deposits. slyly regular |
1507|121|F|96166.92|19931014|3-MEDIUM|Clerk#000000305|0|stealthy, ironic de|
1508|103|O|151282.65|19980410|5-LOW|Clerk#000000117|0| after the furiously regular pinto beans hang slyly quickly ironi|
1509|64|F|180455.98|19930708|5-LOW|Clerk#000000770|0|the regular ideas. regul|
1510|53|O|154590.05|19960917|5-LOW|Clerk#000000128|0|ld carefully. furiously final asymptotes haggle furiously|
1511|79|O|59651.38|19961222|4-NOT SPECIFIED|Clerk#000000386|0|ts above the depend|
1536|94|O|5184.26|19970126|3-MEDIUM|Clerk#000000117|0|ges are! furiously final deposits cajole iron|
1537|109|F|108317.51|19920215|4-NOT SPECIFIED|Clerk#000000862|0|g to the even deposits. ironic, final packages |
1538|29|O|179554.41|19950618|4-NOT SPECIFIED|Clerk#000000258|0| instructions. regular theod|
1539|112|F|39612.63|19950310|5-LOW|Clerk#000000840|0|nstructions boost pa|
1540|16|F|128014.15|19920805|2-HIGH|Clerk#000000927|0|r ideas hinder blithe|
1541|94|P|47286.32|19950518|1-URGENT|Clerk#000000906|0|y. slyly ironic warhorses around the furiously regul|
1542|143|F|132972.24|19930915|3-MEDIUM|Clerk#000000435|0|t the furiously close deposits do was f|
1543|52|O|139047.22|19970220|1-URGENT|Clerk#000000398|0|unts. furiously pend|
1568|17|O|76119.72|19970130|4-NOT SPECIFIED|Clerk#000000554|0|d notornis. carefully |
1569|104|O|87803.55|19980402|5-LOW|Clerk#000000786|0|orbits. fluffily even decoys serve blithely. furiously furious realms nag acro|
1570|124|O|35589.57|19980316|1-URGENT|Clerk#000000745|0|pinto beans haggle furiousl|
1571|103|F|151404.78|19921205|2-HIGH|Clerk#000000565|0|ously furiously bold warthogs. slyly ironic instructions are quickly a|
1572|11|O|47232.79|19960224|2-HIGH|Clerk#000000994|0|fluffily ironic accounts haggle blithely final platelets! slyly regular foxes|
1573|148|F|86918.57|19921228|2-HIGH|Clerk#000000940|0|ess, ironic deposits use along the carefu|
1574|134|O|179923.54|19961212|3-MEDIUM|Clerk#000000809|0| ideas hinder after the carefully unusual |
1575|145|O|197031.52|19950913|3-MEDIUM|Clerk#000000497|0|. furiously regular dep|
1600|94|F|130515.61|19930303|3-MEDIUM|Clerk#000000627|0|tions cajole quietly above the regular, silent requests. slyly fin|
1601|53|F|73962.95|19940827|5-LOW|Clerk#000000469|0|ent deposits are ca|
1602|1|F|4225.26|19930805|5-LOW|Clerk#000000660|0|deposits. busily silent instructions haggle furiously. fin|
1603|2|F|29305.47|19930731|4-NOT SPECIFIED|Clerk#000000869|0|s. slyly silent deposits boo|
1604|113|F|107139.29|19930717|5-LOW|Clerk#000000512|0|lithely silent waters. blithely unusual packages alongside |
1605|58|O|130687.64|19980424|4-NOT SPECIFIED|Clerk#000000616|0|sleep furiously? ruthless, even pinto beans |
1606|53|O|115877.4|19970417|4-NOT SPECIFIED|Clerk#000000550|0|r requests. quickly even platelets breach before the ironically|
1607|149|O|166335.03|19951216|2-HIGH|Clerk#000000498|0| bold, pending foxes haggle. slyly silent |
1632|67|O|183286.33|19970108|3-MEDIUM|Clerk#000000351|0|onic requests are accounts. bold a|
1633|16|O|52359.51|19951014|2-HIGH|Clerk#000000666|0|y silent accounts sl|
1634|70|O|145898.47|19960910|1-URGENT|Clerk#000000360|0|arefully blithely ironic requests. slyly unusual instructions alongside|
1635|4|O|70232.26|19970213|3-MEDIUM|Clerk#000000958|0|s. slyly ironic requests affix slyly |
1636|79|O|172021.87|19970617|3-MEDIUM|Clerk#000000457|0|ding requests. slyly ironic courts wake quickl|
1637|73|F|180912.15|19950208|4-NOT SPECIFIED|Clerk#000000189|0| final accounts. blithely silent ideas cajole bravely. carefully express |
1638|139|O|172436.3|19970813|2-HIGH|Clerk#000000643|0|he fluffily regular asymp|
1639|5|O|104166.56|19950820|4-NOT SPECIFIED|Clerk#000000939|0|haggle furiously. final requests detect furious|
1664|64|O|178060.22|19960303|1-URGENT|Clerk#000000090|0|y quickly even asymptotes. furiously regular packages haggle quickly fin|
1665|76|F|4819.91|19940508|2-HIGH|Clerk#000000920|0|ly regular packages are fluffily even ideas. fluffily final|
1666|95|O|128367.97|19951018|1-URGENT|Clerk#000000849|0|ffily pending dependencies wake fluffily. pending, final accounts |
1667|5|O|125030.37|19971010|2-HIGH|Clerk#000000103|0|e accounts. slyly express accounts must are a|
1668|142|O|137576.19|19970712|4-NOT SPECIFIED|Clerk#000000148|0|eodolites. carefully dogged dolphins haggle q|
1669|2|O|24362.39|19970609|3-MEDIUM|Clerk#000000663|0|er ironic requests detect furiously blithely sp|
1670|25|O|89999.72|19970524|2-HIGH|Clerk#000000320|0|unusual dependencies. furiously special platelets main|
1671|35|O|104391.11|19960727|4-NOT SPECIFIED|Clerk#000000275|0|ly. slyly pending requests was above the |
1696|4|O|102665.03|19980108|4-NOT SPECIFIED|Clerk#000000041|0|bravely bold accounts above the quickly bold|
1697|76|O|122621.31|19961007|1-URGENT|Clerk#000000815|0|o x-ray blithely. pl|
1698|40|O|141118.87|19970423|2-HIGH|Clerk#000000432|0|slyly. carefully express deposit|
1699|85|F|66408.29|19931230|1-URGENT|Clerk#000000125|0|jole blithely. furiously un|
1700|65|O|89143.36|19960615|3-MEDIUM|Clerk#000000328|0|ely final dolphins wake sometimes above the quietly regular deposits. fur|
1701|130|F|72835.95|19920519|2-HIGH|Clerk#000000395|0|furiously. regular, close theodoli|
1702|67|P|194119.31|19950507|2-HIGH|Clerk#000000300|0|around the carefully final deposits cajole carefully according to the b|
1703|134|F|121220.59|19930128|3-MEDIUM|Clerk#000000463|0| pinto beans poach. bold courts boost. regular, express deposits at|
1728|64|O|131604.34|19960522|2-HIGH|Clerk#000000711|0|beans. slyly regular instructions sleep! slyly final packages|
1729|133|F|12137.76|19920519|2-HIGH|Clerk#000000158|0|pending foxes wake. accounts|
1730|124|O|150886.49|19980724|5-LOW|Clerk#000000794|0| fluffily pending deposits serve. furiously even requests wake furiou|
1731|128|O|190490.78|19960106|1-URGENT|Clerk#000000268|0|lithely regular, final instructions. ironic, express packages are above|
1732|146|F|179854.51|19931129|5-LOW|Clerk#000000903|0|inal requests integrate dolph|
1733|148|O|165489.52|19960512|2-HIGH|Clerk#000000789|0|e carefully according to the accounts. furiously pending instructions sleep|
1734|7|F|44002.53|19940611|2-HIGH|Clerk#000000722|0| final ideas haggle. blithely quick foxes sleep busily bold ideas. i|
1735|22|F|98541.95|19921227|1-URGENT|Clerk#000000458|0|ully idle requests wake qu|
1760|115|O|82151.12|19960517|5-LOW|Clerk#000000917|0| deposits. busily regular deposits wake blithely along the furiously even re|
1761|106|F|211925.95|19931224|2-HIGH|Clerk#000000817|0|efully slyly bold frets. packages boost b|
1762|77|F|202227.17|19940820|4-NOT SPECIFIED|Clerk#000000653|0|ly ironic packages. furi|
1763|121|O|140685.01|19961029|2-HIGH|Clerk#000000321|0|es. bold dependencies haggle furiously along |
1764|29|F|47384.71|19920325|1-URGENT|Clerk#000000182|0|. slyly final packages integrate carefully acro|
1765|73|O|36551.43|19951203|4-NOT SPECIFIED|Clerk#000000490|0| regular excuses wake slyly|
1766|139|O|41032.81|19961012|2-HIGH|Clerk#000000983|0|unusual deposits affix quickly beyond the carefully s|
1767|25|P|136582.6|19950314|2-HIGH|Clerk#000000327|0|eposits use carefully carefully regular platelets. quickly regular packages al|
1792|49|F|107919.86|19931109|5-LOW|Clerk#000000102|0|ructions haggle along the pending packages. carefully speci|
1793|19|F|82504.56|19920712|4-NOT SPECIFIED|Clerk#000000291|0|regular packages cajole. blithely special packages according to the final d|
1794|140|O|179462.21|19970928|1-URGENT|Clerk#000000686|0|ally silent pinto beans. regular package|
1795|94|F|146849.33|19940319|2-HIGH|Clerk#000000815|0| quickly final packages! blithely dogged accounts c|
1796|47|F|33755.47|19921121|2-HIGH|Clerk#000000245|0|eans use furiously around th|
1797|125|O|51494.47|19960507|3-MEDIUM|Clerk#000000508|0|quiet platelets haggle since the quickly ironic instructi|
1798|52|O|46393.97|19970728|1-URGENT|Clerk#000000741|0|al foxes are blithe|
1799|61|F|46815.93|19940307|4-NOT SPECIFIED|Clerk#000000339|0|ns sleep furiously final waters. blithely regular instructions h|
1824|49|F|81351.53|19940505|1-URGENT|Clerk#000000972|0|e blithely fluffily|
1825|148|F|150582.77|19931205|3-MEDIUM|Clerk#000000345|0|ironic, final accou|
1826|82|F|124719.97|19920416|4-NOT SPECIFIED|Clerk#000000718|0|the even asymptotes dazzle fluffily slyly regular asymptotes. final, unu|
1827|106|O|210113.88|19960622|4-NOT SPECIFIED|Clerk#000000369|0|luffily even requests haggle sly|
1828|32|F|137369.5|19940418|3-MEDIUM|Clerk#000000840|0|y quickly bold packag|
1829|112|F|127532.2|19940508|2-HIGH|Clerk#000000537|0| accounts wake above the furiously unusual requests. pending package|
1830|133|F|85122.24|19950223|1-URGENT|Clerk#000000045|0|according to the even,|
1831|71|F|58032.77|19931202|1-URGENT|Clerk#000000854|0| accounts. carefully even accounts boost furiously. regular ideas engage. |
1856|106|F|189361.42|19920320|4-NOT SPECIFIED|Clerk#000000952|0|. special pinto beans run acr|
1857|133|F|102793.59|19930113|2-HIGH|Clerk#000000083|0|hely final ideas slee|
1858|143|O|30457.91|19971213|1-URGENT|Clerk#000000389|0|thely. slyly final deposits sleep|
1859|61|O|105094.09|19970411|4-NOT SPECIFIED|Clerk#000000949|0| the foxes. bravely special excuses nag carefully special r|
1860|10|O|9103.4|19960404|3-MEDIUM|Clerk#000000556|0|osits. quickly bold deposits according to |
1861|70|F|95063.41|19940103|3-MEDIUM|Clerk#000000847|0|r the fluffily close sauternes. furio|
1862|34|O|97981.06|19980224|5-LOW|Clerk#000000348|0|ts snooze ironically abou|
1863|74|F|96359.65|19930923|4-NOT SPECIFIED|Clerk#000000658|0|old sentiments. careful, |
1888|121|F|224724.11|19931031|4-NOT SPECIFIED|Clerk#000000659|0|olites. pinto beans cajole. regular deposits affix. slyly regular|
1889|25|O|96431.77|19970316|1-URGENT|Clerk#000000854|0|p around the regular notornis. unusual deposits|
1890|10|O|202364.58|19961218|4-NOT SPECIFIED|Clerk#000000627|0|romise final, regular deposits. regular fox|
1891|61|F|76848.96|19941215|5-LOW|Clerk#000000495|0|unusual foxes sleep regular deposits. requests wake special pac|
1892|25|F|133273.64|19940326|5-LOW|Clerk#000000733|0|sts. slyly regular dependencies use slyly. ironic, spec|
1893|125|O|116792.13|19971030|2-HIGH|Clerk#000000111|0|olites. silent, special deposits eat slyly quickly express packages; hockey p|
1894|76|F|44387.23|19920330|1-URGENT|Clerk#000000626|0|e furiously. furiously even accounts are slyly final accounts. closely speci|
1895|7|F|44429.81|19940530|3-MEDIUM|Clerk#000000878|0|ress accounts. bold accounts cajole. slyly final pinto beans poach regul|
1920|110|O|119605.91|19980624|5-LOW|Clerk#000000018|0|hely; furiously regular excuses|
1921|88|F|57584.12|19940118|3-MEDIUM|Clerk#000000293|0|counts. slyly quiet requests along the ruthlessly regular accounts are |
1922|56|O|11575.77|19960713|3-MEDIUM|Clerk#000000984|0|side of the blithely final re|
1923|136|O|171128.1|19970707|1-URGENT|Clerk#000000471|0| express dolphins. |
1924|76|O|169756.19|19960907|4-NOT SPECIFIED|Clerk#000000823|0| of the ironic accounts. instructions near the final instr|
1925|17|F|146382.71|19920305|1-URGENT|Clerk#000000986|0|e slyly regular deposits. furiously |
1926|94|O|100035.03|19960131|2-HIGH|Clerk#000000568|0|cajole. even warhorses sleep carefully. |
1927|140|O|23327.88|19950930|3-MEDIUM|Clerk#000000616|0|riously special packages. permanent pearls wake furiously. even packages alo|
1952|67|F|12896.25|19940316|2-HIGH|Clerk#000000254|0| silent accounts boost |
1953|149|F|57213.18|19931130|3-MEDIUM|Clerk#000000891|0| fluffily along the quickly even packages. |
1954|56|O|158853.63|19970531|4-NOT SPECIFIED|Clerk#000000104|0| unusual excuses cajole according to the blithely regular theodolites.|
1955|13|F|103085.13|19920420|1-URGENT|Clerk#000000792|0|ly special ideas. sometimes final |
1956|127|F|88704.26|19920920|4-NOT SPECIFIED|Clerk#000000600|0|ironic ideas are silent ideas. furiously final deposits sleep slyly carefu|
1957|31|O|77482.87|19980721|2-HIGH|Clerk#000000639|0|nding excuses about the |
1958|53|O|176294.34|19950922|5-LOW|Clerk#000000343|0| haggle blithely. flu|
1959|43|O|62277.18|19970113|4-NOT SPECIFIED|Clerk#000000631|0| cajole about the blithely express requests. even excuses mold bl|
1984|52|O|79230.47|19980401|1-URGENT|Clerk#000000416|0| slyly special instructions. unusual foxes use packages. carefully regular req|
1985|7|F|171522.54|19940902|4-NOT SPECIFIED|Clerk#000000741|0|slyly slyly even pains. slyly reg|
1986|149|F|34269.96|19940505|2-HIGH|Clerk#000000609|0|across the theodolites. quick|
1987|100|F|6406.29|19940430|2-HIGH|Clerk#000000652|0|gular platelets alongside |
1988|109|O|117132.72|19951006|4-NOT SPECIFIED|Clerk#000000011|0|ly ironic dolphins serve quickly busy accounts. bu|
1989|118|F|39263.28|19940316|4-NOT SPECIFIED|Clerk#000000747|0|ely bold pinto beans ha|
1990|119|F|48781.39|19941216|2-HIGH|Clerk#000000114|0|e bold patterns. always regul|
1991|19|F|139854.41|19920907|4-NOT SPECIFIED|Clerk#000000854|0|ing accounts can haggle at the carefully final Tiresias-- pending, regular|
2016|8|O|24347.36|19960816|3-MEDIUM|Clerk#000000641|0|the carefully ironic foxes. requests nag bold, r|
2017|101|O|70529.27|19980513|3-MEDIUM|Clerk#000000427|0|nusual requests. blit|
2018|19|P|25007.95|19950405|4-NOT SPECIFIED|Clerk#000000920|0|gular accounts wake fur|
2019|136|F|43789.14|19921023|1-URGENT|Clerk#000000565|0| furiously bold packages. fluffily fi|
2020|73|F|136162.13|19930621|3-MEDIUM|Clerk#000000192|0|es. furiously regular packages above the furiously special theodolites are a|
2021|70|O|27016.74|19950715|1-URGENT|Clerk#000000155|0|ong the furiously regular requests. unusual deposits wake fluffily inside|
2022|62|F|206742.11|19920315|1-URGENT|Clerk#000000268|0| dependencies sleep fluffily even, ironic deposits. express, silen|
2023|118|F|144123.37|19920506|5-LOW|Clerk#000000137|0|ular courts engage according to the|
2048|17|F|33401.77|19931115|1-URGENT|Clerk#000000934|0|s cajole after the blithely final accounts. f|
2049|31|O|153048.74|19951207|2-HIGH|Clerk#000000859|0|ly regular requests thrash blithely about the fluffily even theodolites. r|
2050|28|F|208517.98|19940602|4-NOT SPECIFIED|Clerk#000000821|0|d accounts against the furiously regular packages use bli|
2051|40|O|87988.34|19960318|4-NOT SPECIFIED|Clerk#000000333|0|ctions sleep blithely. blithely regu|
2052|91|F|141822.19|19920413|2-HIGH|Clerk#000000767|0| requests sleep around the even, even courts. ironic theodolites affix furious|
