o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
51074|13024|O|136283.50|1995-09-06|5-LOW|Clerk#000000227|0|ake furiously among the furiously i|51074|12102|889|3|1.00|1014.10|0.00|0.07|N|O|1995-10-27|1995-11-11|1995-11-13|COLLECT COD|RAIL|nusual, even accounts. blithe
51335|1807|F|50354.41|1994-10-26|2-HIGH|Clerk#000000082|0| even tithes. ideas boost carefully slyly final warhorses. re|51335|11703|487|1|33.00|53285.10|0.10|0.05|A|F|1995-01-06|1995-01-09|1995-01-26|COLLECT COD|AIR|ending foxes cajole carefully caref
51462|9893|O|259537.09|1995-06-23|3-MEDIUM|Clerk#000000706|0|ests. blithely final ideas cajole slyly after the slyly regular theodolite|51462|7973|745|2|20.00|37619.40|0.07|0.06|N|O|1995-08-24|1995-08-28|1995-09-07|COLLECT COD|AIR|es cajole carefully even instruct
51522|8879|O|155632.71|1995-10-15|3-MEDIUM|Clerk#000000125|0| final, pending deposits are slyly. carefully ironic ideas sleep care|51522|8144|145|2|35.00|36824.90|0.04|0.03|N|O|1995-11-24|1995-11-26|1995-12-14|DELIVER IN PERSON|AIR|ously regula
51591|7418|F|189856.98|1994-10-02|1-URGENT|Clerk#000000880|0|. carefully even deposits wake ironic|51591|11595|857|4|11.00|16572.49|0.09|0.06|R|F|1994-12-13|1994-12-19|1995-01-02|NONE|AIR|packages must have to boost 
52288|52|O|170162.07|1995-08-11|2-HIGH|Clerk#000000696|0|ual deposits are fluffi|52288|6864|121|5|16.00|28333.76|0.03|0.03|N|O|1995-10-23|1995-10-28|1995-11-18|NONE|AIR| blithely regular accounts wake quickl
52295|574|O|259513.08|1995-11-23|1-URGENT|Clerk#000000257|0|ally along the ruthlessly ironic dependencies. ironic platelets nag slyly afte|52295|19835|836|3|12.00|21057.96|0.03|0.01|N|O|1995-12-30|1996-01-02|1996-01-29|NONE|RAIL| slyly quickly regular req
52512|4712|O|275033.01|1995-07-08|2-HIGH|Clerk#000000768|0|usy deposits integrate|52512|4428|191|7|27.00|35975.34|0.08|0.04|N|O|1995-09-21|1995-09-30|1995-10-11|TAKE BACK RETURN|RAIL|owly bold ideas detect blithely slyly 
52611|14533|P|171056.50|1995-04-26|3-MEDIUM|Clerk#000000335|0|ccounts. bold, regular ideas boost slyly quickly special requests. spec|52611|16595|596|2|12.00|18139.08|0.08|0.07|N|F|1995-06-07|1995-06-16|1995-06-22|COLLECT COD|AIR|leep blithely agai
53671|2260|P|194743.41|1995-06-11|3-MEDIUM|Clerk#000000642|0|its sleep carefully requests: ideas eat behind the p|53671|19461|462|3|25.00|34511.50|0.00|0.03|N|O|1995-08-22|1995-08-29|1995-09-10|COLLECT COD|AIR|egular instructions haggle above the pendi
53766|5716|F|73636.59|1994-10-14|4-NOT SPECIFIED|Clerk#000000112|0|ets. slyly regular dependenci|53766|16475|274|1|50.00|69573.50|0.02|0.08|R|F|1995-01-06|1995-01-09|1995-01-10|NONE|AIR|ely pending requests are pending instr
53793|9808|F|136478.53|1994-11-10|3-MEDIUM|Clerk#000000770|0|e furiously special foxes was furiously brav|53793|4234|997|3|6.00|6829.38|0.03|0.03|A|F|1995-01-29|1995-02-04|1995-02-12|NONE|RAIL|uriously close foxes. final accounts
53895|12574|O|99017.96|1995-09-05|4-NOT SPECIFIED|Clerk#000000200|0|ntain along the foxes. quickly even hockey players cajole quickly fluffily eve|53895|15714|245|2|32.00|52150.72|0.10|0.02|N|O|1995-10-23|1995-11-02|1995-11-11|NONE|AIR| even accounts sleep quickly across the sly
53956|13469|O|313976.51|1995-08-09|2-HIGH|Clerk#000000404|0|structions. blithely express request|53956|2153|910|5|24.00|25323.60|0.07|0.03|N|O|1995-10-30|1995-10-31|1995-11-12|COLLECT COD|RAIL|iously bold packages integrate qui
54081|8276|P|192102.40|1995-03-11|5-LOW|Clerk#000000612|0|es. carefully ironic platelets unwind furiously ironic deposits. foxes nod s|54081|15792|58|3|45.00|76850.55|0.00|0.05|R|F|1995-04-30|1995-05-05|1995-05-11|COLLECT COD|AIR|ghout the dep
54084|11719|O|154498.91|1995-09-11|1-URGENT|Clerk#000000073|0|to beans cajole slyly along the finally final foxes. slyly regular package|54084|10634|155|3|50.00|77231.50|0.10|0.04|N|O|1995-11-26|1995-11-30|1995-12-07|COLLECT COD|RAIL|y above the unusual, close pl
54279|10709|O|192698.12|1995-07-31|2-HIGH|Clerk#000000394|0|he sometimes pending requests. dependencies daz|54279|3775|282|6|26.00|43648.02|0.04|0.06|N|O|1995-10-20|1995-10-23|1995-10-31|TAKE BACK RETURN|RAIL|pecial deposits abo
54406|13036|O|278871.08|1995-06-02|4-NOT SPECIFIED|Clerk#000000629|0|tes wake blithely. slyly regular requests haggle i|54406|18248|517|4|47.00|54813.28|0.03|0.00|N|O|1995-07-08|1995-07-11|1995-07-24|TAKE BACK RETURN|RAIL| final reque
54816|10286|F|152544.93|1994-12-10|2-HIGH|Clerk#000000583|0|cording to the carefully idle requests haggle |54816|8462|721|1|30.00|41113.80|0.03|0.04|R|F|1995-02-07|1995-02-12|1995-02-16|COLLECT COD|RAIL|ironic theodolites. furiously 
54816|10286|F|152544.93|1994-12-10|2-HIGH|Clerk#000000583|0|cording to the carefully idle requests haggle |54816|19562|563|3|42.00|62225.52|0.04|0.00|A|F|1995-02-14|1995-02-27|1995-03-05|COLLECT COD|AIR|cuses sleep furiously. final packages
54816|10286|F|152544.93|1994-12-10|2-HIGH|Clerk#000000583|0|cording to the carefully idle requests haggle |54816|2065|822|5|1.00|967.06|0.06|0.02|A|F|1995-02-18|1995-02-21|1995-03-12|NONE|RAIL|about the final accounts. never f
55072|431|F|47141.27|1995-01-05|4-NOT SPECIFIED|Clerk#000000903|0|express packages. packages around the accounts boost q|55072|8302|303|3|2.00|2420.60|0.03|0.06|A|F|1995-03-07|1995-03-12|1995-03-22|TAKE BACK RETURN|RAIL| accounts haggle. enticingly even theo
55362|10238|P|279371.16|1995-04-21|2-HIGH|Clerk#000000998|0|fully regular accounts! slyly express deposits cajole. quickly p|55362|18210|211|4|37.00|41743.77|0.01|0.07|N|F|1995-05-31|1995-06-28|1995-06-30|COLLECT COD|RAIL| above the carefully careful dinos
55427|10984|O|122061.26|1995-07-06|1-URGENT|Clerk#000000526|0|ithely after the fu|55427|11090|352|3|39.00|39042.51|0.02|0.03|N|O|1995-09-03|1995-09-22|1995-09-30|NONE|RAIL|e fluffily regular platelets. slyly fin
55616|6334|P|140744.81|1995-05-09|2-HIGH|Clerk#000000687|0|nto beans. furiously special sheaves nag about t|55616|349|100|4|44.00|54970.96|0.10|0.00|N|O|1995-07-08|1995-07-10|1995-07-12|TAKE BACK RETURN|AIR| deposits. fina
55684|5257|P|73118.54|1995-03-10|3-MEDIUM|Clerk#000000815|0|boost daringly. pinto beans sleep slyly. special, special requests are bli|55684|1416|919|2|29.00|38204.89|0.00|0.02|R|F|1995-05-21|1995-05-22|1995-06-01|NONE|RAIL|ously express 
55906|6073|F|224154.86|1994-11-27|1-URGENT|Clerk#000000483|0|ct blithely along the slyly regular dugouts. slyly silent ideas w|55906|15092|93|2|41.00|41290.69|0.05|0.01|R|F|1994-12-14|1994-12-31|1995-01-13|TAKE BACK RETURN|RAIL|counts. pending accounts wake. fluffily iro
56322|1255|O|128205.82|1995-10-01|3-MEDIUM|Clerk#000000031|0|arefully slyly fina|56322|10003|4|5|22.00|20086.00|0.05|0.08|N|O|1995-11-17|1995-12-10|1995-12-13|NONE|AIR|g deposits haggle closely afte
56515|14527|O|97474.83|1995-05-28|3-MEDIUM|Clerk#000000625|0|ly bold requests. blithely spe|56515|19957|227|3|8.00|15015.60|0.07|0.04|N|O|1995-07-08|1995-07-15|1995-08-05|COLLECT COD|RAIL|nts. express
56550|7546|P|300761.68|1995-04-09|4-NOT SPECIFIED|Clerk#000000390|0|asymptotes wake slyly bold |56550|4748|257|1|41.00|67762.34|0.05|0.00|N|O|1995-07-06|1995-07-08|1995-07-27|NONE|RAIL|final packages. 
56838|9613|O|71394.24|1995-07-30|1-URGENT|Clerk#000000036|0|ns wake after the pend|56838|7020|278|1|7.00|6489.14|0.06|0.04|N|O|1995-09-30|1995-10-07|1995-10-09|TAKE BACK RETURN|RAIL|ccounts. pending dependencies sleep fur
58086|3316|P|106184.27|1995-03-11|3-MEDIUM|Clerk#000000978|0|y regular deposits. blithely ironic requests haggl|58086|7394|395|2|34.00|44247.26|0.08|0.02|R|F|1995-05-13|1995-05-18|1995-06-06|DELIVER IN PERSON|RAIL|nic reques
58307|13142|F|113891.22|1994-11-12|3-MEDIUM|Clerk#000000235|0| pending requests h|58307|10740|521|3|15.00|24761.10|0.04|0.07|R|F|1994-12-20|1995-01-08|1995-01-12|TAKE BACK RETURN|RAIL|al packages. regular theodolites along the 
58340|2561|F|169260.65|1995-01-09|3-MEDIUM|Clerk#000000841|0|s foxes-- packages grow blithely pending, silent decoys. slyly |58340|4601|364|1|16.00|24089.60|0.05|0.03|R|F|1995-03-23|1995-03-25|1995-04-11|COLLECT COD|RAIL| blithely blithely final deposits-- sau
58470|9902|O|336524.59|1995-06-09|2-HIGH|Clerk#000000809|0|ounts serve furiously around the regular packages. pending deposits cajol|58470|3222|476|1|2.00|2250.44|0.05|0.06|N|O|1995-08-11|1995-08-31|1995-09-07|NONE|RAIL|yly even deposits are slyly. blithely pend
58496|13672|O|214364.39|1995-06-12|4-NOT SPECIFIED|Clerk#000000484|0|inal requests boost. ev|58496|6918|175|5|18.00|32848.38|0.04|0.04|N|O|1995-07-14|1995-08-06|1995-08-11|DELIVER IN PERSON|RAIL|onic realms. dependenc
58592|8539|F|142996.26|1995-02-05|4-NOT SPECIFIED|Clerk#000000678|0|e slyly final, regular theodolites. packag|58592|4524|33|2|40.00|57140.80|0.09|0.06|R|F|1995-04-23|1995-04-24|1995-05-16|NONE|AIR|nto beans h
58596|13819|O|40696.47|1995-05-14|2-HIGH|Clerk#000000407|0|l asymptotes. furiously pending platelets haggle b|58596|13296|560|1|34.00|41115.86|0.02|0.01|N|O|1995-07-05|1995-08-02|1995-08-04|DELIVER IN PERSON|RAIL|blithely bold packages nag 
58822|8131|O|64832.17|1995-08-25|1-URGENT|Clerk#000000089|0|o the packages. bold, ironic deposits integrate across the furiou|58822|1085|839|2|27.00|26624.16|0.01|0.08|N|O|1995-09-18|1995-09-29|1995-10-09|TAKE BACK RETURN|RAIL|pending packages haggle furiousl
59044|11432|O|168632.14|1995-07-21|1-URGENT|Clerk#000000879|0|about the pinto bean|59044|923|674|2|15.00|27358.80|0.09|0.00|N|O|1995-10-05|1995-10-08|1995-10-12|NONE|AIR|lithely quiet accounts try to boost along
59297|10354|F|297894.15|1994-12-10|3-MEDIUM|Clerk#000000264|0|ets. theodolites sleep fluff|59297|14006|535|1|47.00|43240.00|0.05|0.05|R|F|1995-02-16|1995-02-22|1995-03-02|DELIVER IN PERSON|RAIL|y platelets. regular deposits detect car
59297|10354|F|297894.15|1994-12-10|3-MEDIUM|Clerk#000000264|0|ets. theodolites sleep fluff|59297|16782|581|4|13.00|22084.14|0.02|0.05|R|F|1995-02-08|1995-02-28|1995-03-08|DELIVER IN PERSON|RAIL| deposits. slyly final
59744|8516|F|114939.10|1994-10-30|5-LOW|Clerk#000000378|0|inst the special deposits. slyly special pinto beans affix c|59744|5944|200|4|21.00|38848.74|0.09|0.00|A|F|1995-01-05|1995-01-23|1995-01-25|DELIVER IN PERSON|RAIL|lyly special acc
60133|9391|O|194634.82|1995-06-28|3-MEDIUM|Clerk#000000993|0|es. even accounts boost slyly. express, |60133|3458|712|4|28.00|38120.60|0.07|0.04|N|O|1995-08-09|1995-08-20|1995-09-01|COLLECT COD|RAIL|thely close accounts. unusual 
60160|2197|F|80318.02|1995-01-07|2-HIGH|Clerk#000000696|0|as; busy, even deposits sleep fluffily. careful|60160|4243|6|3|10.00|11472.40|0.02|0.08|A|F|1995-02-19|1995-03-16|1995-03-20|NONE|RAIL| alongside of t
60582|7186|P|312973.65|1995-03-28|2-HIGH|Clerk#000000129|0|requests. quickly silent instructions sleep stealthily along the slyly p|60582|9509|28|1|40.00|56740.00|0.00|0.02|R|F|1995-05-08|1995-05-21|1995-06-06|COLLECT COD|RAIL|y regular t
60866|10370|O|192515.56|1995-09-14|4-NOT SPECIFIED|Clerk#000000361|0|ic pinto beans might cajole pending, regular theodolit|60866|4153|916|5|46.00|48628.90|0.02|0.08|N|O|1995-11-09|1995-11-18|1995-11-26|NONE|RAIL|s use carefully quickly iro
60868|6898|O|140911.34|1995-09-10|2-HIGH|Clerk#000000104|0|ironic dolphins are carefully! regular platelets haggle carefully along the|60868|18790|59|1|26.00|44428.54|0.04|0.04|N|O|1995-10-08|1995-10-28|1995-11-05|COLLECT COD|AIR|s are furiously besides the slyly
61120|1112|O|344060.54|1995-10-25|2-HIGH|Clerk#000000720|0|instructions haggle blithely? express requests haggle|61120|19383|922|2|28.00|36466.64|0.00|0.04|N|O|1995-12-20|1995-12-26|1996-01-05|NONE|AIR|lyly even instructions. furiously regu
61284|11923|O|119917.53|1995-09-28|3-MEDIUM|Clerk#000000122|0|iously slyly ironic foxes. carefu|61284|1078|832|3|41.00|40141.87|0.04|0.01|N|O|1995-12-13|1995-12-23|1996-01-05|DELIVER IN PERSON|AIR|p blithely above the even deposits. 
61796|8812|O|128078.12|1995-06-24|4-NOT SPECIFIED|Clerk#000000823|0|e slyly alongside of the q|61796|5386|387|3|8.00|10331.04|0.09|0.02|N|O|1995-08-03|1995-08-22|1995-08-31|TAKE BACK RETURN|AIR|eep. pending pinto beans nag 
61956|9865|O|164727.92|1995-09-29|2-HIGH|Clerk#000000830|0|olites are furiously from the regular|61956|19717|987|3|29.00|47464.59|0.04|0.02|N|O|1995-10-10|1995-10-29|1995-11-06|TAKE BACK RETURN|RAIL|thely even braids are ca
62501|5875|P|234530.74|1995-04-25|3-MEDIUM|Clerk#000000971|0|ar, express accounts wake after the even dependencies. blithely fina|62501|19232|771|2|33.00|37990.59|0.10|0.05|N|O|1995-06-21|1995-07-03|1995-07-18|COLLECT COD|RAIL| slyly slyly regul
62593|2674|O|165572.25|1995-07-03|4-NOT SPECIFIED|Clerk#000000105|0|packages. slyly final deposits haggle quickly atop the |62593|11245|507|2|25.00|28906.00|0.03|0.05|N|O|1995-08-22|1995-08-28|1995-09-13|DELIVER IN PERSON|RAIL|eposits. furi
62657|14291|O|254346.04|1995-07-20|5-LOW|Clerk#000000288|0|ckly special excuses thrash slyly packages|62657|17849|651|5|24.00|42404.16|0.02|0.07|N|O|1995-09-05|1995-09-21|1995-09-29|NONE|AIR|leep according to the
62658|11777|F|85366.92|1994-10-27|1-URGENT|Clerk#000000781|0| special asymptotes around the slow depths u|62658|13383|647|1|39.00|50558.82|0.04|0.01|A|F|1995-01-18|1995-01-25|1995-02-03|TAKE BACK RETURN|AIR|ainst the expr
62692|1369|O|245633.68|1995-07-01|1-URGENT|Clerk#000000955|0|ipliers wake along the carefully re|62692|17843|111|3|50.00|88042.00|0.06|0.07|N|O|1995-08-05|1995-08-08|1995-08-12|TAKE BACK RETURN|RAIL|lets haggle blithely. express, final ins
62885|11098|P|261852.48|1995-05-15|4-NOT SPECIFIED|Clerk#000001000|0| requests. slyly final instructions nag slyly final deposits. quietly r|62885|4307|562|5|31.00|37550.30|0.08|0.06|N|O|1995-06-24|1995-07-21|1995-07-22|TAKE BACK RETURN|AIR|out the furiously even packages are furi
62980|7162|F|340944.30|1994-12-21|3-MEDIUM|Clerk#000000294|0|totes use finally about the regular pinto beans! |62980|15465|261|1|39.00|53837.94|0.01|0.02|A|F|1995-01-03|1995-01-23|1995-01-27|COLLECT COD|RAIL|xpress pinto beans sleep blithely blit
63013|1669|O|225829.38|1995-07-07|2-HIGH|Clerk#000000766|0|wake. blithely dogged requests affix. |63013|5404|170|5|44.00|57613.60|0.03|0.07|N|O|1995-09-09|1995-09-11|1995-09-19|DELIVER IN PERSON|RAIL|bove the regular pinto beans. e
63104|13310|P|214695.13|1995-03-20|5-LOW|Clerk#000000609|0|gle slyly around the blithely bold foxes. express attainments boost carefully |63104|15988|784|3|20.00|38079.60|0.07|0.08|N|F|1995-05-29|1995-06-06|1995-06-20|NONE|AIR|ual requests against the th
63141|2924|F|195234.76|1995-01-12|5-LOW|Clerk#000000314|0| the quickly final deposits are blithely across the special r|63141|12509|510|1|14.00|19901.00|0.03|0.05|R|F|1995-03-03|1995-03-11|1995-03-20|DELIVER IN PERSON|RAIL|usly regular deposi
63141|2924|F|195234.76|1995-01-12|5-LOW|Clerk#000000314|0| the quickly final deposits are blithely across the special r|63141|6505|506|2|48.00|67752.00|0.07|0.03|A|F|1995-02-23|1995-03-11|1995-03-21|NONE|RAIL|efully until the special, regular foxes
63265|14018|F|49025.46|1995-04-14|3-MEDIUM|Clerk#000000436|0|ly final requests nag quickl|63265|10836|617|1|29.00|50658.07|0.08|0.00|A|F|1995-05-07|1995-05-15|1995-05-25|NONE|AIR|blithely f
63495|7409|O|225500.36|1995-07-05|4-NOT SPECIFIED|Clerk#000000054|0|ep slyly blithe excuses-- packages about the furiously regular pinto beans x-r|63495|18216|21|3|16.00|18147.36|0.08|0.02|N|O|1995-08-14|1995-08-23|1995-09-10|TAKE BACK RETURN|RAIL| cajole. slyly e
63650|13949|O|171468.87|1995-08-19|3-MEDIUM|Clerk#000000627|0|he bold gifts. fluffily bold packages impress? fluffily final accounts l|63650|9224|2|1|22.00|24930.84|0.00|0.08|N|O|1995-11-08|1995-11-12|1995-11-19|TAKE BACK RETURN|RAIL|riously. furiously slow
63750|8552|F|182934.72|1994-12-18|5-LOW|Clerk#000000693|0|arhorses. final pains sleep quickly regular packages. carefully even ins|63750|1173|174|4|29.00|31150.93|0.00|0.05|A|F|1995-02-25|1995-03-09|1995-03-23|TAKE BACK RETURN|AIR|lly unusual pin
63809|12748|F|125932.53|1995-01-03|5-LOW|Clerk#000000621|0|lly silent accounts cajole slyly careful|63809|13270|271|4|11.00|13015.97|0.08|0.06|R|F|1995-02-05|1995-03-02|1995-03-07|COLLECT COD|AIR|nal requests affix furiously f
63815|14698|F|212935.04|1995-02-07|2-HIGH|Clerk#000000427|0| final requests poach slyly. regular, bold accounts detect flu|63815|6828|829|2|42.00|72862.44|0.06|0.02|A|F|1995-04-02|1995-04-12|1995-04-13|TAKE BACK RETURN|AIR| cajole carefully alongside 
63972|4780|O|170677.83|1995-10-19|3-MEDIUM|Clerk#000000849|0|y regular accounts engage fluffily above|63972|2245|246|2|34.00|39006.16|0.05|0.05|N|O|1995-12-14|1995-12-31|1996-01-08|NONE|RAIL|l pinto beans wake along the ideas. expre
64067|4499|P|195195.59|1995-05-21|2-HIGH|Clerk#000000437|0|usly-- packages affix. |64067|8994|995|6|38.00|72313.62|0.08|0.02|N|F|1995-06-10|1995-06-24|1995-06-28|COLLECT COD|RAIL|nal packages. 
64260|3640|F|13748.18|1994-11-29|1-URGENT|Clerk#000000144|0|he special, regular instructions nag carefully unu|64260|4963|964|1|8.00|14943.68|0.08|0.00|R|F|1995-01-21|1995-02-03|1995-02-20|NONE|AIR|packages boost slyly bold
64356|14297|P|161041.94|1995-05-20|4-NOT SPECIFIED|Clerk#000000155|0|sts maintain. ironic packages nod. blithely ironic req|64356|12842|367|3|19.00|33341.96|0.05|0.04|N|O|1995-06-24|1995-06-28|1995-07-20|DELIVER IN PERSON|RAIL|und the bu
64611|1592|P|184372.14|1995-05-07|5-LOW|Clerk#000000499|0|ironic multipliers. deposits wake. c|64611|4723|724|1|35.00|56970.20|0.03|0.02|N|F|1995-06-17|1995-06-28|1995-07-16|DELIVER IN PERSON|RAIL|riously according to the slyly slow account
64711|11263|F|72329.01|1995-01-26|1-URGENT|Clerk#000000838|0|bout the furiously regular ideas. blithely bol|64711|9577|837|2|32.00|47570.24|0.04|0.01|R|F|1995-04-12|1995-04-20|1995-04-29|DELIVER IN PERSON|RAIL|close pinto
64897|3388|F|179921.48|1995-02-16|5-LOW|Clerk#000000986|0|ironic foxes affix s|64897|16076|343|2|16.00|15873.12|0.09|0.02|R|F|1995-03-23|1995-04-12|1995-04-16|NONE|AIR|ick pinto beans. packa
65413|1724|F|96712.09|1995-02-12|5-LOW|Clerk#000000883|0|lar deposits. furiously|65413|3225|732|3|16.00|18051.52|0.09|0.05|R|F|1995-05-12|1995-05-13|1995-05-31|DELIVER IN PERSON|AIR|ckly express depe
65766|2434|P|196327.64|1995-03-11|4-NOT SPECIFIED|Clerk#000000132|0|ep blithely quickly final packages; fin|65766|12627|414|1|48.00|73901.76|0.08|0.06|R|F|1995-04-20|1995-05-03|1995-05-17|COLLECT COD|AIR|. enticingly quick foxes c
65766|2434|P|196327.64|1995-03-11|4-NOT SPECIFIED|Clerk#000000132|0|ep blithely quickly final packages; fin|65766|7465|237|5|20.00|27449.20|0.05|0.02|A|F|1995-05-29|1995-06-02|1995-06-17|COLLECT COD|AIR|r grouches. slyly express acco
66054|955|F|81753.43|1994-10-13|2-HIGH|Clerk#000000154|0|d packages. furiously express theodolites cajole after the flu|66054|7760|761|2|8.00|13342.08|0.01|0.07|A|F|1994-12-27|1995-01-05|1995-01-20|COLLECT COD|RAIL|s deposits sleep pains. express packages
66948|10417|F|134160.75|1994-11-09|3-MEDIUM|Clerk#000000194|0|ecial platelets. unusual, regular ideas play. foxes across the ironic, specia|66948|13634|898|1|37.00|57262.31|0.06|0.04|A|F|1995-01-15|1995-01-22|1995-01-31|TAKE BACK RETURN|RAIL| slyly bold pinto beans mold e
66981|7213|F|213973.71|1995-02-05|3-MEDIUM|Clerk#000000611|0|express packages. carefully ironic dependenci|66981|3139|140|2|43.00|44811.59|0.08|0.04|R|F|1995-04-12|1995-04-16|1995-04-18|DELIVER IN PERSON|RAIL|he blithely regular theodolites
67078|5357|O|271906.85|1995-10-05|1-URGENT|Clerk#000000121|0|according to the slyly re|67078|10859|860|1|50.00|88492.50|0.05|0.04|N|O|1995-11-21|1995-11-27|1995-12-03|NONE|AIR|cies affix according to th
67109|10586|F|117423.77|1995-01-17|2-HIGH|Clerk#000000353|0|lar asymptotes. furiously regular courts sleep. finally even i|67109|2973|226|3|30.00|56279.10|0.08|0.02|A|F|1995-03-11|1995-03-26|1995-03-31|COLLECT COD|RAIL|ajole blithely final, even platele
67298|14999|O|296795.91|1995-09-15|1-URGENT|Clerk#000000213|0|nic excuses nag after the pending|67298|2090|343|3|16.00|15873.44|0.05|0.07|N|O|1995-10-14|1995-10-16|1995-11-05|DELIVER IN PERSON|AIR|ticing foxes. regular deposits
67617|9974|O|170829.93|1995-10-09|1-URGENT|Clerk#000000781|0| packages. deposits after the thin requests impress a|67617|17176|711|3|34.00|37167.78|0.04|0.08|N|O|1995-11-02|1995-11-14|1995-11-22|DELIVER IN PERSON|RAIL|e orbits? carefully regular a
67904|7328|P|194461.12|1995-05-22|1-URGENT|Clerk#000000659|0|even deposits about the instructions haggle b|67904|18159|428|1|15.00|16157.25|0.04|0.02|N|O|1995-07-14|1995-07-17|1995-08-01|TAKE BACK RETURN|RAIL|even accounts detect b
67941|5887|O|300211.52|1995-07-13|5-LOW|Clerk#000000244|0|ajole carefully fluffily unusual accounts. |67941|16777|778|1|31.00|52506.87|0.03|0.07|N|O|1995-10-10|1995-10-11|1995-10-25|NONE|AIR|equests across the ironic asymptotes wake
67969|12001|F|158686.68|1994-12-23|4-NOT SPECIFIED|Clerk#000000111|0|e unusual requests. quickly bold |67969|5106|617|1|6.00|6066.60|0.07|0.05|R|F|1995-03-07|1995-03-16|1995-03-21|TAKE BACK RETURN|RAIL|lar requests. final, unusual requests
68225|13555|O|132625.42|1995-11-12|1-URGENT|Clerk#000000137|0| pinto beans doubt across the slyly ironic requests. quickly regul|68225|57|58|2|42.00|40196.10|0.07|0.02|N|O|1995-12-31|1996-01-08|1996-01-10|COLLECT COD|AIR|t the blithely ironic ideas cajol
68416|13574|O|202563.00|1995-10-17|1-URGENT|Clerk#000000261|0|uffily special accounts |68416|16925|192|3|28.00|51573.76|0.04|0.03|N|O|1995-12-01|1995-12-08|1995-12-18|DELIVER IN PERSON|AIR|carefully unusual instructions haggle 
68455|6889|O|161322.30|1995-08-25|4-NOT SPECIFIED|Clerk#000000296|0|uffy, special pinto|68455|7957|472|4|9.00|16784.55|0.06|0.08|N|O|1995-11-01|1995-11-14|1995-11-17|COLLECT COD|RAIL| foxes. car
68515|8215|P|179233.37|1995-04-12|5-LOW|Clerk#000000282|0|e evenly above the carefully final accounts. quie|68515|17792|327|4|32.00|54713.28|0.07|0.00|A|F|1995-05-08|1995-05-20|1995-05-31|DELIVER IN PERSON|RAIL|y across the 
68549|1243|O|187538.08|1995-07-01|5-LOW|Clerk#000000253|0| accounts are fluffily after the fluffily regular|68549|6670|671|1|37.00|58336.79|0.01|0.03|N|O|1995-08-17|1995-09-09|1995-09-13|NONE|RAIL|al instructions. quickly silent theodolit
68644|4709|F|277874.59|1995-02-01|3-MEDIUM|Clerk#000000249|0|ironic foxes. even gifts nag bold, pending packages. packages above th|68644|13865|392|2|5.00|8894.30|0.04|0.04|A|F|1995-03-20|1995-03-29|1995-04-01|TAKE BACK RETURN|AIR|equests against the carefully e
68835|1177|P|80329.37|1995-04-21|4-NOT SPECIFIED|Clerk#000000124|0|l dependencies. ironic ideas about the instructions cajol|68835|15072|868|3|5.00|4935.35|0.00|0.00|N|O|1995-07-08|1995-07-15|1995-08-04|NONE|RAIL|s sleep quickly even package
68931|8845|F|261480.81|1994-11-13|4-NOT SPECIFIED|Clerk#000000367|0|sts. ironic, final accounts accordi|68931|13325|326|5|40.00|49532.80|0.07|0.04|A|F|1995-01-12|1995-01-18|1995-01-27|NONE|RAIL|xpress instructions. doggedly express accou
68967|1402|O|122371.14|1995-06-24|4-NOT SPECIFIED|Clerk#000000809|0|refully among the never final deposits. regular |68967|5652|653|1|42.00|65421.30|0.06|0.03|N|O|1995-08-25|1995-09-06|1995-09-24|COLLECT COD|AIR|ending cour
69345|9281|F|198802.53|1994-12-07|1-URGENT|Clerk#000000818|0|. excuses was blithely? bold excus|69345|1217|720|3|8.00|8945.68|0.07|0.02|A|F|1995-01-09|1995-01-10|1995-01-11|NONE|RAIL|use across the accounts. quickly
69380|8488|F|294603.58|1994-10-22|1-URGENT|Clerk#000000163|0|arefully express deposits; express, final packages wake slyly. carefully r|69380|3095|349|4|40.00|39923.60|0.06|0.01|R|F|1995-01-06|1995-01-19|1995-01-26|COLLECT COD|RAIL|lar accounts use above the pending notornis
69445|1334|O|227155.11|1995-07-10|5-LOW|Clerk#000000446|0|carefully regular deposits haggle quickly. slyly thin accounts wake furious|69445|17433|701|3|29.00|39162.47|0.09|0.05|N|O|1995-07-31|1995-08-12|1995-08-24|DELIVER IN PERSON|RAIL|the carefully silent deposit
69570|10946|O|157213.76|1995-06-22|2-HIGH|Clerk#000000671|0|ies haggle above the special, final theo|69570|10197|458|2|48.00|53145.12|0.10|0.04|N|O|1995-07-22|1995-07-28|1995-08-18|TAKE BACK RETURN|RAIL|egular foxes bo
69574|5855|O|70286.13|1995-08-11|1-URGENT|Clerk#000000788|0|blithely. final, final tithes|69574|10746|527|2|7.00|11597.18|0.06|0.03|N|O|1995-10-06|1995-10-07|1995-10-31|NONE|RAIL|e even, regular deposits. slyly even pla
